full_name,owner,name,stars,forks,language,pr_count,url
keycloak/keycloak,keycloak,keycloak,34022,8269,Java,1000,https://github.com/keycloak/keycloak
zxing/zxing,zxing,zxing,33919,9432,Java,587,https://github.com/zxing/zxing
alibaba/easyexcel,alibaba,easyexcel,33751,7610,Java,381,https://github.com/alibaba/easyexcel
Blankj/AndroidUtilCode,Blankj,AndroidUtilCode,33692,10665,Java,205,https://github.com/Blankj/AndroidUtilCode
alibaba/nacos,alibaba,nacos,32887,13275,Java,1000,https://github.com/alibaba/nacos
binarywang/WxJava,binarywang,WxJava,32730,9057,Java,1000,https://github.com/binarywang/WxJava
apache/kafka,apache,kafka,32434,15131,Java,1000,https://github.com/apache/kafka
conductor-oss/conductor,conductor-oss,conductor,31680,860,Java,636,https://github.com/conductor-oss/conductor
chinabugotech/hutool,chinabugotech,hutool,30301,7621,Java,1000,https://github.com/chinabugotech/hutool
xuxueli/xxl-job,xuxueli,xxl-job,30092,11462,Java,564,https://github.com/xuxueli/xxl-job
apolloconfig/apollo,apolloconfig,apollo,29761,10187,Java,1000,https://github.com/apolloconfig/apollo
yuliskov/SmartTube,yuliskov,SmartTube,29688,1586,Java,1000,https://github.com/yuliskov/SmartTube
alibaba/canal,alibaba,canal,29671,7652,Java,660,https://github.com/alibaba/canal
alibaba/spring-cloud-alibaba,alibaba,spring-cloud-alibaba,29106,8511,Java,1000,https://github.com/alibaba/spring-cloud-alibaba
DrKLO/Telegram,DrKLO,Telegram,28965,9465,Java,601,https://github.com/DrKLO/Telegram
alibaba/druid,alibaba,druid,28201,8592,Java,1000,https://github.com/alibaba/druid
Anuken/Mindustry,Anuken,Mindustry,27335,3415,Java,1000,https://github.com/Anuken/Mindustry
kestra-io/kestra,kestra-io,kestra,26744,2557,Java,1000,https://github.com/kestra-io/kestra
OpenAPITools/openapi-generator,OpenAPITools,openapi-generator,26156,7496,Java,1000,https://github.com/OpenAPITools/openapi-generator
apache/incubator-seata,apache,incubator-seata,25972,8888,Java,1000,https://github.com/apache/incubator-seata
apache/flink,apache,flink,25947,13914,Java,1000,https://github.com/apache/flink
alibaba/fastjson,alibaba,fastjson,25678,6439,Java,693,https://github.com/alibaba/fastjson
CodePhiliaX/Chat2DB,CodePhiliaX,Chat2DB,25433,2788,Java,468,https://github.com/CodePhiliaX/Chat2DB
JakeWharton/butterknife,JakeWharton,butterknife,25394,4562,Java,473,https://github.com/JakeWharton/butterknife
bazelbuild/bazel,bazelbuild,bazel,25341,4449,Java,1000,https://github.com/bazelbuild/bazel
jenkinsci/jenkins,jenkinsci,jenkins,25216,9468,Java,1000,https://github.com/jenkinsci/jenkins
libgdx/libgdx,libgdx,libgdx,25026,6534,Java,1000,https://github.com/libgdx/libgdx
apache/skywalking,apache,skywalking,24790,6645,Java,1000,https://github.com/apache/skywalking
Netflix/Hystrix,Netflix,Hystrix,24458,4698,Java,764,https://github.com/Netflix/Hystrix
iBotPeaches/Apktool,iBotPeaches,Apktool,24329,3916,Java,827,https://github.com/iBotPeaches/Apktool
redisson/redisson,redisson,redisson,24311,5495,Java,1000,https://github.com/redisson/redisson
google/gson,google,gson,24209,4426,Java,1000,https://github.com/google/gson
dataease/dataease,dataease,dataease,23827,4086,Java,1000,https://github.com/dataease/dataease
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,EnterpriseQualityCoding,FizzBuzzEnterpriseEdition,23620,803,Java,115,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition
LSPosed/LSPosed,LSPosed,LSPosed,23511,3554,Java,1000,https://github.com/LSPosed/LSPosed
ashishps1/awesome-low-level-design,ashishps1,awesome-low-level-design,23463,5741,Java,108,https://github.com/ashishps1/awesome-low-level-design
doocs/source-code-hunter,doocs,source-code-hunter,23130,4248,Java,143,https://github.com/doocs/source-code-hunter
alibaba/Sentinel,alibaba,Sentinel,23107,8149,Java,1000,https://github.com/alibaba/Sentinel
openjdk/jdk,openjdk,jdk,22802,6317,Java,1000,https://github.com/openjdk/jdk
kunal-kushwaha/DSA-Bootcamp-Java,kunal-kushwaha,DSA-Bootcamp-Java,22524,13264,Java,788,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java
apache/rocketmq,apache,rocketmq,22425,11986,Java,1000,https://github.com/apache/rocketmq
elunez/eladmin,elunez,eladmin,21935,7366,Java,185,https://github.com/elunez/eladmin
google/ExoPlayer,google,ExoPlayer,21914,6015,Java,1000,https://github.com/google/ExoPlayer
thingsboard/thingsboard,thingsboard,thingsboard,21587,6243,Java,1000,https://github.com/thingsboard/thingsboard
oracle/graal,oracle,graal,21557,1790,Java,1000,https://github.com/oracle/graal
brettwooldridge/HikariCP,brettwooldridge,HikariCP,21100,3013,Java,441,https://github.com/brettwooldridge/HikariCP
apache/shardingsphere,apache,shardingsphere,20713,6906,Java,1000,https://github.com/apache/shardingsphere
mybatis/mybatis-3,mybatis,mybatis-3,20421,12933,Java,1000,https://github.com/mybatis/mybatis-3
didi/DoKit,didi,DoKit,20419,3188,Java,436,https://github.com/didi/DoKit
linlinjava/litemall,linlinjava,litemall,20228,7321,Java,187,https://github.com/linlinjava/litemall
JetBrains/intellij-community,JetBrains,intellij-community,20018,5805,Java,1000,https://github.com/JetBrains/intellij-community
ReactiveX/RxAndroid,ReactiveX,RxAndroid,20006,2941,Java,250,https://github.com/ReactiveX/RxAndroid
opendataloader-project/opendataloader-pdf,opendataloader-project,opendataloader-pdf,19040,1710,Java,303,https://github.com/opendataloader-project/opendataloader-pdf
dianping/cat,dianping,cat,18964,5416,Java,1000,https://github.com/dianping/cat
lionsoul2014/ip2region,lionsoul2014,ip2region,18956,2987,Java,179,https://github.com/lionsoul2014/ip2region
Baseflow/PhotoView,Baseflow,PhotoView,18845,3918,Java,142,https://github.com/Baseflow/PhotoView
antlr/antlr4,antlr,antlr4,18830,3432,Java,1000,https://github.com/antlr/antlr4
YunaiV/yudao-cloud,YunaiV,yudao-cloud,18828,4715,Java,100,https://github.com/YunaiV/yudao-cloud
dromara/Sa-Token,dromara,Sa-Token,18765,2891,Java,157,https://github.com/dromara/Sa-Token
