nameWithOwner,owner,description,primaryLanguage,stars,forks,createdAt,updatedAt,repositoryAge,daysSinceUpdate,mergedPullRequests,releases,openIssues,closedIssues,totalIssues,closedIssuesRatio,watchers,url
open-webui/open-webui,open-webui,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)",Python,125872,17812,2023-10-06T22:08:27Z,2026-03-05T22:53:26Z,881,0,3314,152,0,7613,7613,1.0,0,https://github.com/open-webui/open-webui
facebook/react-native,facebook,A framework for building native applications using React,C++,125505,25106,2015-01-09T18:10:16Z,2026-03-05T22:48:38Z,4073,0,957,444,0,26830,26830,1.0,0,https://github.com/facebook/react-native
krahets/hello-algo,krahets,"《Hello 算法》：动画图解、一键运行的数据结构与算法教程。支持简中、繁中、English、日本語，提供 Python, Java, C++, C, C#, JS, Go, Swift, Rust, Ruby, Kotlin, TS, Dart 等代码实现",Java,122683,14865,2022-11-04T11:08:34Z,2026-03-05T16:21:16Z,1217,0,968,10,0,274,274,1.0,0,https://github.com/krahets/hello-algo
kubernetes/kubernetes,kubernetes,Production-Grade Container Scheduling and Management,Go,120943,42595,2014-06-06T22:56:04Z,2026-03-05T22:12:35Z,4290,0,64004,784,0,46783,46783,1.0,0,https://github.com/kubernetes/kubernetes
electron/electron,electron,":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS",C++,120318,17020,2013-04-12T01:47:36Z,2026-03-05T22:30:12Z,4710,0,24551,1000,0,20739,20739,1.0,0,https://github.com/electron/electron
ripienaar/free-for-dev,ripienaar,"A list of SaaS, PaaS and IaaS offerings that have free tiers of interest to devops and infradev",HTML,118664,12219,2015-03-18T21:06:26Z,2026-03-05T22:38:15Z,4005,0,2900,0,0,0,0,0.0,0,https://github.com/ripienaar/free-for-dev
excalidraw/excalidraw,excalidraw,Virtual whiteboard for sketching hand-drawn like diagrams,TypeScript,118094,12746,2020-01-02T01:04:43Z,2026-03-05T22:19:36Z,2254,0,3838,14,0,2539,2539,1.0,0,https://github.com/excalidraw/excalidraw
anomalyco/opencode,anomalyco,The open source coding agent.,TypeScript,116592,11848,2025-04-30T20:08:00Z,2026-03-05T22:57:59Z,309,0,2582,728,0,5086,5086,1.0,0,https://github.com/anomalyco/opencode
justjavac/free-programming-books-zh_CN,justjavac,:books: 免费的计算机编程类中文书籍，欢迎投稿,Unknown,116405,28332,2013-11-04T01:59:19Z,2026-03-05T15:53:21Z,4504,0,282,3,0,0,0,0.0,0,https://github.com/justjavac/free-programming-books-zh_CN
nodejs/node,nodejs,Node.js JavaScript runtime ✨🐢🚀✨,JavaScript,116089,34936,2014-11-26T19:57:11Z,2026-03-05T22:47:39Z,4117,0,11893,486,0,18331,18331,1.0,0,https://github.com/nodejs/node
